,MentalHealth,DevType,YearlySalary
53084,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;DevOps specialist;Designer",110000
53088,None of the above,"Developer, front-end;Engineering manager",371000
53092,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",105000
53093,None of the above,"Developer, back-end;Engineering manager",111200
53096,"Anxiety;I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Engineering manager,190000
53097,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;System administrator",660000
53098,Prefer not to say,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Scientist",120000
53099,Depression;Anxiety,"Developer, full-stack",120000
53100,Prefer not to say,"Data scientist or machine learning specialist;Developer, front-end;Developer, back-end;Data or business analyst",110000
53101,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack",130000
53102,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, desktop or enterprise applications",106000
53105,None of the above,"Data scientist or machine learning specialist;Developer, back-end;Academic researcher",175000
53108,None of the above,"Developer, full-stack;Developer, back-end;Security professional",39000
53109,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",72500
53112,None of the above,Engineering manager,160000
53134,None of the above,"Developer, full-stack",24766
53135,Depression;Anxiety,"Developer, front-end;Developer, back-end",250000
53136,None of the above,Academic researcher;Scientist,39732
53137,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",498000
53138,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",95000
53144,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",180000
53146,None of the above,"Developer, full-stack;Product manager;Senior Executive (C-Suite, VP, etc.)",9000
53147,None of the above,"Developer, full-stack;Project manager",39996
53152,None of the above,"Developer, mobile",324000
53158,None of the above,"Developer, front-end;Developer, mobile",115000
53159,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",90000
53160,None of the above,"Engineer, data;Database administrator;Data or business analyst",85000
53162,None of the above,"Developer, front-end",46000
53167,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer",240000
53170,None of the above,"Developer, full-stack",69500
53175,None of the above,"Developer, full-stack",52700
53181,None of the above,Data scientist or machine learning specialist,140000
53184,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",105000
53189,None of the above,"Developer, full-stack;Product manager",47500
53190,None of the above,"Developer, full-stack",45000
53194,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",68000
53195,None of the above,"Developer, back-end",170000
53197,None of the above,"Developer, full-stack;Engineering manager",62000
53198,None of the above,"Developer, full-stack",45000
53201,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",DevOps specialist,160000
53204,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, QA or test",75000
53205,None of the above,"Developer, front-end",53000
53206,None of the above,"Developer, full-stack;Developer, mobile;System administrator",45000
53214,None of the above,"Developer, full-stack;Security professional",47000
53223,None of the above,"Data scientist or machine learning specialist;Developer, desktop or enterprise applications;Project manager",3800
53228,None of the above,"Developer, back-end",52000
53229,None of the above,"Developer, full-stack",111000
53233,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",84000
53234,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",100000
53242,None of the above,Other,75000
53245,None of the above,"Developer, mobile",60000
53248,None of the above,"Developer, front-end;Engineering manager",80000
53250,None of the above,"Developer, full-stack",67000
53251,None of the above,"Developer, full-stack",171000
53252,None of the above,"Engineer, site reliability;DevOps specialist",153000
53257,None of the above,"Developer, front-end",80000
53258,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test",100000
53263,None of the above,"Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",115000
53264,None of the above,"Senior Executive (C-Suite, VP, etc.)",250000
53269,None of the above,"Developer, front-end",93600
53273,None of the above,"Developer, front-end",45000
53275,None of the above,"Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, QA or test;System administrator",155000
53276,None of the above,"Developer, full-stack;Database administrator;Project manager;Cloud infrastructure engineer;System administrator",480000
53291,None of the above,"Developer, back-end;Data or business analyst;Designer",66000
53293,None of the above,"Developer, full-stack",64900
53298,None of the above,"Developer, mobile",60000
53299,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Project manager;Product manager",36000
53302,None of the above,"Developer, full-stack;Developer, back-end;Database administrator;Cloud infrastructure engineer",185000
53305,None of the above,"Developer, full-stack",35000
53306,None of the above,"Developer, full-stack;Developer, game or graphics",216000
53313,None of the above,"Engineering manager;Developer, game or graphics",100000
53314,None of the above,"Developer, back-end",100000
53318,None of the above,"Developer, back-end",960000
53325,None of the above,"Developer, full-stack",250000
53327,None of the above,"Developer, full-stack",155000
53329,Depression,Other,90000
53330,None of the above,"Developer, back-end",112000
53334,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",90000
53335,"Depression;Anxiety;I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Engineering manager,230000
53341,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer;Data or business analyst;Designer",54000
53346,None of the above,"Developer, full-stack;Project manager",40000
53347,None of the above,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",29000
53349,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Other;Data or business analyst;Security professional",92500
53353,Depression;Anxiety,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",120000
53354,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",105000
53361,Depression,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",80000
53363,None of the above,"Developer, back-end",300000
53364,None of the above,"Developer, full-stack;Project manager;Data or business analyst;Senior Executive (C-Suite, VP, etc.)",62400
53367,None of the above,"Developer, full-stack",107000
53368,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile",44400
53370,"Anxiety;Or, in your own words:","Developer, full-stack;Developer, back-end;Data or business analyst",150000
53371,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",1920000
53373,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end",4320000
53376,None of the above,"Developer, full-stack",43000
53379,None of the above,"Developer, back-end",48000
53381,Prefer not to say,"Developer, full-stack",25000
53382,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, QA or test;DevOps specialist;System administrator",34450
53386,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",150000
53390,None of the above,"Developer, front-end",75000
53394,None of the above,"Developer, full-stack;Developer, mobile",720000
53396,None of the above,"Developer, back-end;Other;Developer, embedded applications or devices",525000
53398,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, mobile",60000
53400,None of the above,"Developer, desktop or enterprise applications",149000
53405,None of the above,"Developer, back-end",45000
53406,None of the above,"Developer, full-stack;Database administrator;System administrator",79200
53408,None of the above,"Developer, back-end",250000
53413,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack",30000
53417,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack",60000
53422,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",100000
53424,None of the above,"Data scientist or machine learning specialist;Developer, back-end",176000
53427,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",80000
53431,None of the above,DevOps specialist,51500
53434,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices",105000
53438,None of the above,"Developer, desktop or enterprise applications;Engineering manager;Developer, embedded applications or devices",190000
53443,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",46000
53451,Depression;Anxiety,"Developer, front-end;Developer, full-stack",75000
53452,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Designer",80000
53454,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Developer, back-end;Engineering manager",720000
53463,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Other;Data or business analyst",75000
53464,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, desktop or enterprise applications",77245
53466,None of the above,"Developer, back-end",85000
53468,None of the above,"Developer, mobile",85000
53471,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",65000
53484,Depression,"Developer, front-end;Academic researcher;Designer",32400
53485,Anxiety,"Developer, full-stack;Student;Developer, game or graphics",25000
53486,Prefer not to say,"Developer, full-stack",70000
53487,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",38400
53488,None of the above,"Developer, full-stack;Developer, back-end",110000
53490,Prefer not to say,"Developer, front-end;Engineering manager;Designer",106000
53494,Depression,"Developer, full-stack;Developer, QA or test;Developer, mobile;Engineering manager;DevOps specialist;Scientist;Senior Executive (C-Suite, VP, etc.);Security professional",140000
53497,Depression;Anxiety,"Developer, back-end;Database administrator;Cloud infrastructure engineer",180000
53498,Depression;Anxiety,"Developer, back-end",91200
53500,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, site reliability;Developer, back-end",135000
53502,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",101000
53505,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, mobile",37000
53507,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",21000
53508,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",110250
53510,None of the above,"Developer, back-end",42000
53513,None of the above,"Engineer, site reliability;Developer, full-stack;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.)",135000
53518,None of the above,"Engineer, data;Developer, full-stack",220000
53519,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",142610
53520,None of the above,"Developer, front-end;Developer, full-stack;Blockchain",2040000
53531,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Database administrator;DevOps specialist;Cloud infrastructure engineer",160000
53533,Anxiety,"Developer, back-end;Engineering manager",165000
53536,None of the above,"Developer, back-end;Engineering manager",78000
53538,None of the above,"Developer, full-stack;Database administrator;DevOps specialist",75000
53539,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Project manager",165000
53541,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Developer, back-end",74000
53543,None of the above,"Developer, full-stack;Developer, back-end",40000
53546,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",DevOps specialist;Cloud infrastructure engineer;System administrator,155000
53547,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Project manager;Senior Executive (C-Suite, VP, etc.)",130000
53556,Depression;Anxiety,"Developer, back-end",90000
53561,None of the above,"Developer, front-end;Developer, full-stack",120576
53565,None of the above,"Developer, full-stack;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",35000
53569,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;DevOps specialist;Cloud infrastructure engineer",160000
53570,None of the above,"Developer, full-stack",76000
53576,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Educator;Developer, game or graphics",22000
53580,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager",165000
53582,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end",91000
53588,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Designer;Product manager",89160
53591,None of the above,"Developer, front-end;Developer, full-stack;Project manager",50000
53595,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Security professional,118000
53598,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",45000
53599,None of the above,"Developer, full-stack;Developer, back-end;Engineering manager",130000
53602,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Data scientist or machine learning specialist;Engineer, data;Engineer, site reliability;Developer, back-end;Developer, QA or test;Database administrator;Other;Developer, embedded applications or devices;Scientist;System administrator",100000
53604,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator",80000
53607,None of the above,"Developer, full-stack",77000
53609,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer;Designer;Marketing or sales professional",1800000
53610,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;DevOps specialist;Cloud infrastructure engineer;System administrator",504000
53613,None of the above,"Developer, embedded applications or devices",115000
53614,None of the above,"Developer, desktop or enterprise applications",110000
53620,None of the above,"Developer, front-end;Developer, back-end;Database administrator;System administrator",1875
53624,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",130000
53625,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Engineering manager",75000
53631,None of the above,"Developer, full-stack",80000
53635,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Project manager",175000
53639,None of the above,"Engineer, site reliability;Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer",816000
53643,None of the above,"Developer, full-stack",55000
53644,None of the above,"Student;Developer, game or graphics",400
53645,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Developer, QA or test;System administrator",50000
53646,None of the above,"Developer, front-end",80000
53647,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",380000
53649,None of the above,"Developer, desktop or enterprise applications;Engineering manager",240000
53653,Depression;Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Student",75000
53658,None of the above,"Developer, QA or test;Developer, embedded applications or devices",165000
53660,Prefer not to say,"Developer, full-stack",40000
53662,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack",55000
53664,Depression,"Developer, full-stack;Educator",33000
53670,None of the above,"Developer, back-end;System administrator",168000
53673,Prefer not to say,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Engineering manager;Cloud infrastructure engineer",185000
53674,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data;Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",100580
53680,None of the above,"Developer, back-end",200000
53681,Depression,Data scientist or machine learning specialist;Data or business analyst,70000
53682,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer",90000
53684,Depression,"Engineer, data",155000
53685,None of the above,"Developer, front-end",165000
53693,None of the above,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Other",85000
53695,"Depression;Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end",100000
53698,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Academic researcher;Product manager",80000
53701,None of the above,"Developer, back-end",48000
53703,None of the above,"Engineer, data",166000
53707,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",130000
53708,None of the above,"Developer, full-stack;Developer, back-end",46350
53709,None of the above,"Developer, mobile;Developer, embedded applications or devices",110000
53711,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",140000
53712,Depression,"Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",175000
53713,None of the above,"Developer, back-end;Data or business analyst",67500
53717,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer",230000
53719,None of the above,"Data scientist or machine learning specialist;Engineer, site reliability;Developer, full-stack;Developer, back-end;Project manager",1416000
53722,None of the above,"Developer, full-stack",125000
53724,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager",150000
53726,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",150000
53727,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Cloud infrastructure engineer",51500
53732,Prefer not to say,"Developer, back-end;DevOps specialist",85000
53733,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",DevOps specialist;System administrator,63000
53735,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Data or business analyst",136000
53737,Depression,"Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Project manager;Data or business analyst;Designer",118000
53740,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer;Blockchain",180000
53746,None of the above,Other;Project manager,190000
53748,Anxiety,"Developer, back-end",115000
53749,None of the above,"Developer, full-stack",165000
53750,None of the above,"Engineer, data;Data or business analyst",96000
53751,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, mobile",165000
53759,None of the above,"Developer, back-end;Data or business analyst",100000
53763,None of the above,"Developer, back-end",572400
53764,None of the above,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Cloud infrastructure engineer;Designer;System administrator",1840
53771,Prefer not to say,"Developer, back-end",99500
53776,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Engineering manager;Project manager;Designer;Product manager",200000
53780,Prefer not to say,"Engineer, site reliability;Developer, full-stack;Database administrator;DevOps specialist;System administrator",115000
53786,None of the above,"Developer, back-end",302000
53787,None of the above,"Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Project manager;System administrator",180000
53789,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Engineering manager;Cloud infrastructure engineer",220000
53793,Prefer not to say,"Developer, full-stack",75000
53799,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",95000
53800,None of the above,Cloud infrastructure engineer,78000
53806,Depression,"Developer, full-stack;Developer, desktop or enterprise applications",77500
53808,None of the above,Other,95000
53809,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",75000
53810,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack",97000
53812,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile",116000
53815,None of the above,"Developer, mobile",1800000
53821,None of the above,"Developer, full-stack;DevOps specialist",1020000
53822,Depression;Anxiety,"Developer, full-stack;Engineering manager",210000
53825,None of the above,"Developer, front-end;System administrator",25000
53830,Prefer not to say,"Developer, full-stack;Developer, back-end",1320000
53832,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",578400
53833,None of the above,"Developer, full-stack;Developer, mobile",75000
53838,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Data or business analyst,88000
53840,None of the above,"Developer, full-stack;Blockchain",57500
53844,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager",260000
53854,Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",130000
53855,None of the above,Data scientist or machine learning specialist,43992
53858,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",360000
53861,None of the above,"Developer, front-end;Senior Executive (C-Suite, VP, etc.)",1800000
53871,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Project manager;Designer;Product manager",150000
53874,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Product manager",60000
53875,None of the above,"Developer, mobile",119900
53876,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",1800000
53879,None of the above,"Developer, back-end",612000
53882,None of the above,"Developer, mobile;Engineering manager;Developer, game or graphics;Senior Executive (C-Suite, VP, etc.)",110000
53884,None of the above,"Developer, embedded applications or devices",112000
53891,None of the above,"Developer, QA or test",1680
53892,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",48200
53893,None of the above,"Developer, front-end",85000
53896,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, desktop or enterprise applications",48000
53903,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Designer",175000
53904,Depression,"Developer, back-end;Database administrator",350000
53905,None of the above,"Developer, full-stack;Developer, back-end",50000
53908,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;DevOps specialist;Designer;System administrator",275000
53909,None of the above,"Engineer, data;Developer, back-end;Engineering manager;Cloud infrastructure engineer;Blockchain",250000
53912,Depression,"Developer, full-stack",148000
53914,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Engineer, site reliability;Developer, full-stack",180000
53918,None of the above,"Developer, front-end;Database administrator;Data or business analyst;Designer;System administrator",70000
53920,None of the above,"Developer, full-stack",960000
53922,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, desktop or enterprise applications;Database administrator;DevOps specialist",75000
53924,None of the above,"Developer, full-stack",127000
53926,None of the above,"Developer, front-end;Developer, full-stack",419000
53934,None of the above,DevOps specialist,3200
53944,Anxiety,"Developer, full-stack;System administrator",100000
53945,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",145000
53948,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator",75000
53950,Anxiety,"Developer, full-stack",100000
53954,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, site reliability;Developer, full-stack;Engineering manager;DevOps specialist;Cloud infrastructure engineer;Blockchain",200000
53955,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Database administrator;Cloud infrastructure engineer;Designer;Product manager;Senior Executive (C-Suite, VP, etc.)",220000
53961,Depression;Anxiety,"Developer, full-stack",60000
53962,None of the above,"Developer, full-stack",150000
53967,None of the above,"Engineer, data;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Developer, embedded applications or devices;Data or business analyst;Designer",150000
53968,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Database administrator",160000
53970,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end",300000
53976,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Cloud infrastructure engineer;Data or business analyst",60000
53979,None of the above,"Developer, front-end",750000
53980,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Cloud infrastructure engineer",185000
53984,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Security professional",390000
53987,Depression,"Engineer, data;Developer, full-stack;Developer, back-end",133000
53989,Depression,"Developer, full-stack",140000
53997,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Product manager",180000
53998,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack",260000
53999,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Academic researcher;Scientist;System administrator",57576
54000,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",98000
54001,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, mobile;Academic researcher;System administrator",100000
54007,None of the above,"Developer, full-stack",20400
54014,None of the above,"Developer, back-end",150000
54015,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",600000
54019,None of the above,"Developer, full-stack",250000
54021,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile",2400000
54030,None of the above,"Developer, mobile",65000
54033,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end",84000
54037,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;DevOps specialist",107000
54038,None of the above,Data scientist or machine learning specialist,31800
54042,None of the above,"Developer, full-stack;Developer, QA or test;DevOps specialist",310000
54043,None of the above,"Developer, full-stack;Cloud infrastructure engineer;System administrator",125000
54048,None of the above,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",48000
54049,Depression;Anxiety,"Developer, full-stack;Developer, back-end",450000
54052,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end",420000
54057,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer",110000
54058,Prefer not to say,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",115000
54065,None of the above,"Developer, full-stack",128000
54069,Prefer not to say,"Engineer, data;Database administrator;Designer",105000
54074,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Other",150000
54080,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Educator;Developer, embedded applications or devices;Project manager",50004
54086,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager;Database administrator;DevOps specialist;Developer, embedded applications or devices;Project manager;Cloud infrastructure engineer;Designer;Product manager",150000
54090,Prefer not to say,"Developer, QA or test",118000
54091,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end;DevOps specialist",222222
